{'Decanus': 42.72, 'Legatus legionis': 1.01, 'Decurion': 25.96, 'Centurion': 15.58, 'Praefectus castrorum': 5.8, 'Tribunus laticlavius': 1.92, 'Pilus prior': 8.2}
{'Gold Car Paint': 14.39, 'Red Car Paint': 14.81, 'Purple Car Paint': 14.39, 'Green Car Paint': 14.5, 'Black Car Paint': 14.68, 'Yellow Car Paint': 14.08, 'Blue Car Paint': 14.34}
{'Carbon Fiber': 11.55, 'Digital Camo': 7.92, 'MSMC Copper Matte': 8.08, 'TitaniumBlk': 12.17, 'Lambo Gold': 1.18, 'Cosmic Blue': 12.2, 'Matte Black': 12.62, 'Trippy Black/Red': 2.34, 'Trippy Yellow': 2.2, 'MSMC Copper Liquid': 7.85, 'Ice': 1.24, 'Holographic': 8.13, 'Lava': 2.33, 'Neon': 2.04, 'Hot Pink': 2.41, 'Trippy Red/Black': 2.38, 'Fire': 1.0, 'Electric': 1.17, 'Trippy Black/White': 2.38}
{'Guardian 1 / BASE': 42.03, 'Guardian 5 / WINGS': 5.59, 'Guardian 3': 16.57, 'Guardian 2': 25.45, 'Guardian 4': 11.55}
{'Daft Punk': 1.22, 'Green Eyes': 10.87, 'KILL Text': 6.22, 'X_X': 6.75, 'xD': 6.56, 'Blue Skull': 5.03, '$': 5.15, 'Blue Eyes': 10.37, 'Red Skull': 3.44, ':)': 6.57, 'o_o': 6.83, 'Heart': 7.24, 'SOL Symbol': 4.74, 'Mask': 2.31, 'Target': 2.44, 'Red Eyes': 10.76, 'Green Skull': 4.69}
1: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
1899: Decurion, Blue Car Paint, TitaniumBlk, Guardian 5 / WINGS, Green Skull, Katana
1900: Centurion, Red Car Paint, Carbon Fiber, Guardian 1 / BASE, :), No Weapon
1901: Decurion, Yellow Car Paint, Trippy Black/White, Guardian 1 / BASE, SOL Symbol, No Weapon
1902: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, No Weapon
1903: Decanus, Blue Car Paint, Holographic, Guardian 4, $, No Weapon
1904: Centurion, Gold Car Paint, Digital Camo, Guardian 2, $, No Weapon
1905: Pilus prior, Blue Car Paint, Matte Black, Guardian 2, SOL Symbol, No Weapon
1906: Pilus prior, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, xD, Ice Katana
1907: Decanus, Yellow Car Paint, Digital Camo, Guardian 2, Red Eyes, No Weapon
1908: Decanus, Red Car Paint, Trippy Black/Red, Guardian 1 / BASE, Heart, No Weapon
1909: Centurion, Gold Car Paint, MSMC Copper Matte, Guardian 2, o_o, No Weapon
1910: Praefectus castrorum, Gold Car Paint, Digital Camo, Guardian 1 / BASE, Heart, No Weapon
1911: Decurion, Green Car Paint, Matte Black, Guardian 5 / WINGS, KILL Text, Katana
1912: Decurion, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, No Weapon
1913: Decanus, Green Car Paint, Neon, Guardian 3, Green Eyes, No Weapon
1914: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, No Weapon
1915: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, Blue Eyes, No Weapon
1916: Decanus, Gold Car Paint, Holographic, Guardian 3, Green Eyes, Sniper
1917: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 5 / WINGS, :), No Weapon
1918: Decanus, Blue Car Paint, Digital Camo, Guardian 1 / BASE, Green Skull, Katana
1919: Decanus, Black Car Paint, MSMC Copper Matte, Guardian 1 / BASE, SOL Symbol, Electric Sniper
1920: Decanus, Gold Car Paint, Trippy Yellow, Guardian 1 / BASE, o_o, No Weapon
1921: Decanus, Black Car Paint, Carbon Fiber, Guardian 2, Red Eyes, Ice Katana
1922: Praefectus castrorum, Blue Car Paint, TitaniumBlk, Guardian 2, o_o, No Weapon
1923: Pilus prior, Black Car Paint, Carbon Fiber, Guardian 2, Red Eyes, Sniper
1924: Centurion, Gold Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
1925: Decanus, Gold Car Paint, Lambo Gold, Guardian 1 / BASE, X_X, Fire Katana
1926: Decurion, Purple Car Paint, Holographic, Guardian 3, Mask, No Weapon
1927: Decurion, Blue Car Paint, MSMC Copper Liquid, Guardian 3, X_X, No Weapon
1928: Decanus, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, :), No Weapon
1929: Decanus, Purple Car Paint, Matte Black, Guardian 2, Blue Eyes, Electric Sniper
1930: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, SOL Symbol, No Weapon
1931: Decurion, Yellow Car Paint, Hot Pink, Guardian 3, Red Eyes, Sniper
1932: Pilus prior, Blue Car Paint, Holographic, Guardian 3, Heart, No Weapon
1933: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 3, Green Eyes, No Weapon
1934: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Heart, No Weapon
1935: Decanus, Red Car Paint, MSMC Copper Matte, Guardian 3, KILL Text, No Weapon
1936: Pilus prior, Blue Car Paint, Cosmic Blue, Guardian 2, Red Eyes, No Weapon
1937: Decurion, Purple Car Paint, Digital Camo, Guardian 4, Target, No Weapon
1938: Decanus, Green Car Paint, Holographic, Guardian 4, Red Eyes, No Weapon
1939: Decanus, Blue Car Paint, Trippy Black/Red, Guardian 1 / BASE, :), No Weapon
1940: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 2, Red Skull, No Weapon
1941: Decanus, Blue Car Paint, Hot Pink, Guardian 1 / BASE, Green Eyes, No Weapon
1942: Decanus, Gold Car Paint, Carbon Fiber, Guardian 3, $, Sniper
1943: Centurion, Red Car Paint, Hot Pink, Guardian 1 / BASE, KILL Text, Katana
1944: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 4, Red Eyes, No Weapon
1945: Decanus, Green Car Paint, Carbon Fiber, Guardian 4, Heart, No Weapon
1946: Centurion, Blue Car Paint, Trippy Black/White, Guardian 5 / WINGS, Green Skull, No Weapon
1947: Decanus, Gold Car Paint, Holographic, Guardian 2, Red Eyes, Katana
1948: Decurion, Blue Car Paint, Matte Black, Guardian 1 / BASE, :), No Weapon
1949: Decanus, Green Car Paint, Carbon Fiber, Guardian 2, Daft Punk, No Weapon
1950: Centurion, Yellow Car Paint, Trippy Yellow, Guardian 1 / BASE, X_X, No Weapon
1951: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Red Eyes, No Weapon
1952: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 2, X_X, Ice Katana
1953: Decanus, Purple Car Paint, Digital Camo, Guardian 2, $, Katana
1954: Decanus, Blue Car Paint, Matte Black, Guardian 3, o_o, No Weapon
1955: Decurion, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, :), Sniper
1956: Decurion, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Target, Sniper
1957: Centurion, Red Car Paint, Digital Camo, Guardian 3, Blue Eyes, No Weapon
1958: Pilus prior, Blue Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, X_X, Sniper
1959: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 4, Heart, Katana
1960: Decanus, Red Car Paint, TitaniumBlk, Guardian 2, KILL Text, No Weapon
1961: Decurion, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Mask, Katana
1962: Centurion, Red Car Paint, Cosmic Blue, Guardian 4, Blue Skull, No Weapon
1963: Centurion, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Target, No Weapon
1964: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, Fire Sniper
1965: Centurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Mask, No Weapon
1966: Tribunus laticlavius, Blue Car Paint, Holographic, Guardian 4, Blue Eyes, Katana
1967: Decanus, Gold Car Paint, Cosmic Blue, Guardian 5 / WINGS, xD, No Weapon
1968: Decurion, Blue Car Paint, Digital Camo, Guardian 1 / BASE, Mask, Electric Katana
1969: Legatus legionis, Gold Car Paint, Holographic, Guardian 1 / BASE, Red Eyes, Ice Katana
1970: Pilus prior, Gold Car Paint, Neon, Guardian 1 / BASE, xD, Sniper
1971: Decanus, Blue Car Paint, Matte Black, Guardian 2, xD, No Weapon
1972: Decanus, Purple Car Paint, Matte Black, Guardian 1 / BASE, SOL Symbol, No Weapon
1973: Decanus, Red Car Paint, Carbon Fiber, Guardian 5 / WINGS, Target, No Weapon
1974: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 4, Heart, No Weapon
1975: Centurion, Yellow Car Paint, Holographic, Guardian 1 / BASE, KILL Text, Sniper
1976: Pilus prior, Black Car Paint, Matte Black, Guardian 2, xD, No Weapon
1977: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Heart, Katana
1978: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, SOL Symbol, Electric Katana
1979: Legatus legionis, Gold Car Paint, MSMC Copper Liquid, Guardian 5 / WINGS, Daft Punk, No Weapon
1980: Decanus, Red Car Paint, Trippy Yellow, Guardian 1 / BASE, xD, No Weapon
1981: Decanus, Red Car Paint, Carbon Fiber, Guardian 2, Red Eyes, Sniper
1982: Decanus, Black Car Paint, Holographic, Guardian 2, X_X, No Weapon
1983: Decanus, Black Car Paint, Digital Camo, Guardian 1 / BASE, :), No Weapon
1984: Pilus prior, Purple Car Paint, Matte Black, Guardian 1 / BASE, o_o, No Weapon
1985: Decurion, Yellow Car Paint, Matte Black, Guardian 4, Blue Eyes, Katana
1986: Decanus, Black Car Paint, Digital Camo, Guardian 2, X_X, Katana
1987: Centurion, Green Car Paint, Digital Camo, Guardian 2, Mask, Sniper
1988: Decurion, Black Car Paint, Matte Black, Guardian 2, Red Eyes, Sniper
1989: Decanus, Yellow Car Paint, Holographic, Guardian 2, Green Eyes, No Weapon
1990: Centurion, Black Car Paint, Trippy Black/Red, Guardian 2, Green Eyes, No Weapon
1991: Decurion, Blue Car Paint, Digital Camo, Guardian 3, Blue Eyes, No Weapon
1992: Decanus, Black Car Paint, Trippy Yellow, Guardian 2, Green Eyes, Fire Sniper
1993: Decurion, Green Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
1994: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 3, Red Skull, No Weapon
1995: Centurion, Green Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, No Weapon
1996: Praefectus castrorum, Purple Car Paint, Holographic, Guardian 2, :), No Weapon
1997: Decanus, Gold Car Paint, TitaniumBlk, Guardian 3, Blue Eyes, No Weapon
1998: Decurion, Black Car Paint, Electric, Guardian 2, Green Eyes, Electric Sniper
1999: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, Sniper
2000: Decurion, Purple Car Paint, Matte Black, Guardian 2, Mask, No Weapon
2001: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 4, Blue Skull, Electric Sniper
2002: Decurion, Black Car Paint, Lava, Guardian 2, X_X, No Weapon
2003: Centurion, Green Car Paint, Trippy Black/White, Guardian 2, Target, Ice Sniper
2004: Decanus, Blue Car Paint, Matte Black, Guardian 2, Green Eyes, Sniper
2005: Centurion, Red Car Paint, Trippy Red/Black, Guardian 1 / BASE, Mask, No Weapon
2006: Centurion, Gold Car Paint, Cosmic Blue, Guardian 2, X_X, No Weapon
2007: Decurion, Gold Car Paint, Digital Camo, Guardian 2, Green Eyes, No Weapon
2008: Decanus, Gold Car Paint, Matte Black, Guardian 3, Blue Eyes, No Weapon
2009: Decurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, X_X, Fire Sniper
2010: Decurion, Purple Car Paint, Holographic, Guardian 2, Red Eyes, Sniper
2011: Praefectus castrorum, Gold Car Paint, TitaniumBlk, Guardian 2, X_X, Katana
2012: Decurion, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, No Weapon
2013: Decanus, Green Car Paint, Trippy Yellow, Guardian 3, Heart, Katana
2014: Praefectus castrorum, Gold Car Paint, Carbon Fiber, Guardian 2, Heart, Ice Sniper
2015: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Heart, No Weapon
2016: Decanus, Black Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Target, Fire Katana
2017: Centurion, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Heart, No Weapon
2018: Decanus, Gold Car Paint, Matte Black, Guardian 2, o_o, No Weapon
2019: Centurion, Blue Car Paint, Digital Camo, Guardian 1 / BASE, Red Eyes, No Weapon
2020: Decanus, Blue Car Paint, Cosmic Blue, Guardian 2, o_o, Sniper
2021: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 3, Red Eyes, No Weapon
2022: Decanus, Red Car Paint, Trippy Red/Black, Guardian 1 / BASE, :), No Weapon
2023: Decurion, Red Car Paint, Cosmic Blue, Guardian 2, X_X, No Weapon
2024: Decanus, Purple Car Paint, Digital Camo, Guardian 1 / BASE, Red Eyes, Sniper
2025: Praefectus castrorum, Blue Car Paint, Cosmic Blue, Guardian 3, Green Eyes, No Weapon
2026: Decanus, Gold Car Paint, TitaniumBlk, Guardian 2, o_o, No Weapon
2027: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, No Weapon
2028: Decanus, Purple Car Paint, Hot Pink, Guardian 1 / BASE, Heart, Electric Katana
2029: Decurion, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Eyes, No Weapon
2030: Decanus, Purple Car Paint, Ice, Guardian 1 / BASE, Green Eyes, No Weapon
2031: Decurion, Red Car Paint, Matte Black, Guardian 1 / BASE, Blue Skull, Katana
2032: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Blue Skull, No Weapon
2033: Decurion, Red Car Paint, MSMC Copper Liquid, Guardian 2, SOL Symbol, No Weapon
2034: Decanus, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, No Weapon
2035: Decurion, Purple Car Paint, Holographic, Guardian 2, Target, No Weapon
2036: Decanus, Green Car Paint, Matte Black, Guardian 3, o_o, No Weapon
2037: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 2, Green Skull, No Weapon
2038: Centurion, Green Car Paint, Trippy Black/Red, Guardian 1 / BASE, :), No Weapon
2039: Decanus, Black Car Paint, Trippy Black/White, Guardian 1 / BASE, xD, No Weapon
2040: Decanus, Red Car Paint, MSMC Copper Matte, Guardian 2, KILL Text, No Weapon
2041: Centurion, Yellow Car Paint, Neon, Guardian 1 / BASE, Red Eyes, Katana
2042: Centurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, $, Sniper
2043: Praefectus castrorum, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, No Weapon
2044: Centurion, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, X_X, Katana
2045: Centurion, Yellow Car Paint, Digital Camo, Guardian 1 / BASE, :), No Weapon
2046: Decanus, Green Car Paint, Electric, Guardian 1 / BASE, Red Eyes, Fire Sniper
2047: Decurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, Ice Katana
2048: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Daft Punk, Sniper
2049: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, KILL Text, No Weapon
2050: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, $, No Weapon
2051: Decanus, Blue Car Paint, Matte Black, Guardian 1 / BASE, Red Skull, Katana
2052: Decanus, Blue Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, Fire Sniper
2053: Pilus prior, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Red Eyes, No Weapon
2054: Decanus, Red Car Paint, Carbon Fiber, Guardian 5 / WINGS, Red Eyes, No Weapon
2055: Decanus, Black Car Paint, Trippy Red/Black, Guardian 1 / BASE, Red Skull, Sniper
2056: Decanus, Black Car Paint, Matte Black, Guardian 5 / WINGS, $, Electric Sniper
2057: Decurion, Purple Car Paint, Matte Black, Guardian 4, Green Eyes, No Weapon
2058: Centurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Skull, Katana
2059: Decanus, Purple Car Paint, Trippy Black/Red, Guardian 1 / BASE, Red Eyes, No Weapon
2060: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 2, Heart, Katana
2061: Decurion, Purple Car Paint, Digital Camo, Guardian 1 / BASE, Blue Eyes, No Weapon
2062: Decurion, Yellow Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, No Weapon
2063: Decanus, Red Car Paint, Trippy Yellow, Guardian 3, xD, Fire Katana
2064: Centurion, Green Car Paint, TitaniumBlk, Guardian 3, Red Skull, Fire Sniper
2065: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 2, o_o, Katana
2066: Decanus, Gold Car Paint, Holographic, Guardian 1 / BASE, Blue Skull, No Weapon
2067: Praefectus castrorum, Gold Car Paint, TitaniumBlk, Guardian 3, Red Eyes, No Weapon
2068: Decanus, Red Car Paint, Trippy Black/Red, Guardian 1 / BASE, o_o, Katana
2069: Decurion, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, KILL Text, Fire Katana
2070: Pilus prior, Red Car Paint, Trippy Black/White, Guardian 1 / BASE, Daft Punk, Sniper
2071: Decurion, Black Car Paint, Carbon Fiber, Guardian 3, xD, Sniper
2072: Decanus, Green Car Paint, Carbon Fiber, Guardian 4, X_X, Katana
2073: Decurion, Green Car Paint, Trippy Black/White, Guardian 1 / BASE, o_o, No Weapon
2074: Decurion, Black Car Paint, Electric, Guardian 5 / WINGS, Green Eyes, No Weapon
2075: Centurion, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, xD, No Weapon
2076: Decurion, Black Car Paint, MSMC Copper Liquid, Guardian 3, Green Skull, No Weapon
2077: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 2, Red Skull, Electric Sniper
2078: Centurion, Blue Car Paint, Carbon Fiber, Guardian 4, :), Fire Sniper
2079: Centurion, Red Car Paint, Digital Camo, Guardian 2, $, Electric Katana
2080: Decurion, Gold Car Paint, Matte Black, Guardian 3, SOL Symbol, No Weapon
2081: Pilus prior, Red Car Paint, Cosmic Blue, Guardian 2, Red Eyes, No Weapon
2082: Decurion, Black Car Paint, Digital Camo, Guardian 2, xD, No Weapon
2083: Decurion, Green Car Paint, Matte Black, Guardian 3, Blue Eyes, No Weapon
2084: Decurion, Red Car Paint, Lambo Gold, Guardian 1 / BASE, X_X, Katana
2085: Centurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Eyes, Katana
2086: Praefectus castrorum, Black Car Paint, Carbon Fiber, Guardian 3, KILL Text, No Weapon
2087: Centurion, Purple Car Paint, Digital Camo, Guardian 3, Heart, No Weapon
2088: Decurion, Yellow Car Paint, Carbon Fiber, Guardian 2, X_X, Fire Sniper
2089: Decurion, Red Car Paint, Matte Black, Guardian 2, $, Katana
2090: Pilus prior, Purple Car Paint, Cosmic Blue, Guardian 2, o_o, Elemental Katana X
2091: Decanus, Blue Car Paint, Digital Camo, Guardian 1 / BASE, Heart, No Weapon
2092: Decurion, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Skull, No Weapon
2093: Decurion, Blue Car Paint, MSMC Copper Matte, Guardian 2, o_o, Flamethrower X
2094: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 3, o_o, No Weapon
2095: Centurion, Green Car Paint, Digital Camo, Guardian 4, Blue Eyes, No Weapon
2096: Decurion, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, No Weapon
2097: Decurion, Yellow Car Paint, Trippy Red/Black, Guardian 2, Target, Sniper
2098: Decanus, Yellow Car Paint, Trippy Red/Black, Guardian 1 / BASE, Green Eyes, Sniper
2099: Pilus prior, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, Katana
2100: Decurion, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, :), No Weapon
2101: Decanus, Gold Car Paint, Carbon Fiber, Guardian 2, SOL Symbol, Sniper
2102: Decanus, Gold Car Paint, Matte Black, Guardian 5 / WINGS, o_o, No Weapon
2103: Centurion, Green Car Paint, MSMC Copper Liquid, Guardian 3, o_o, No Weapon
2104: Praefectus castrorum, Yellow Car Paint, Trippy Yellow, Guardian 1 / BASE, Red Eyes, No Weapon
2105: Pilus prior, Red Car Paint, TitaniumBlk, Guardian 1 / BASE, xD, No Weapon
2106: Decanus, Purple Car Paint, Trippy Yellow, Guardian 1 / BASE, o_o, Ice Sniper
2107: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 2, Red Eyes, Sniper
2108: Decurion, Yellow Car Paint, Trippy Black/White, Guardian 1 / BASE, Green Eyes, No Weapon
2109: Decanus, Red Car Paint, Holographic, Guardian 1 / BASE, :), Katana
2110: Decanus, Yellow Car Paint, Digital Camo, Guardian 4, Green Skull, Electric Katana
2111: Pilus prior, Purple Car Paint, Holographic, Guardian 4, o_o, No Weapon
2112: Centurion, Black Car Paint, Cosmic Blue, Guardian 5 / WINGS, :), Katana
2113: Tribunus laticlavius, Blue Car Paint, Lava, Guardian 2, Green Eyes, Electric Katana
2114: Decanus, Black Car Paint, Trippy Yellow, Guardian 1 / BASE, Blue Skull, Katana
2115: Decanus, Red Car Paint, Hot Pink, Guardian 2, xD, No Weapon
2116: Pilus prior, Gold Car Paint, Cosmic Blue, Guardian 2, :), No Weapon
2117: Decanus, Purple Car Paint, Digital Camo, Guardian 2, Blue Skull, Sniper
2118: Legatus legionis, Green Car Paint, Hot Pink, Guardian 3, Red Eyes, No Weapon
2119: Praefectus castrorum, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Skull, Sniper
2120: Decanus, Blue Car Paint, Lava, Guardian 1 / BASE, Green Eyes, No Weapon
2121: Decanus, Red Car Paint, Fire, Guardian 1 / BASE, X_X, No Weapon
2122: Decanus, Black Car Paint, Holographic, Guardian 1 / BASE, xD, No Weapon
2123: Decanus, Gold Car Paint, Holographic, Guardian 1 / BASE, Green Eyes, Katana
2124: Pilus prior, Red Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, No Weapon
2125: Decurion, Black Car Paint, Cosmic Blue, Guardian 3, Green Eyes, Electric Sniper
2126: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 3, Red Eyes, No Weapon
2127: Centurion, Gold Car Paint, Trippy Yellow, Guardian 3, Blue Eyes, No Weapon
2128: Decurion, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Mask, Ice Katana
2129: Centurion, Gold Car Paint, Holographic, Guardian 4, Green Eyes, No Weapon
2130: Decanus, Gold Car Paint, Lambo Gold, Guardian 4, Blue Eyes, No Weapon
2131: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, :), Sniper
2132: Decanus, Yellow Car Paint, Holographic, Guardian 3, xD, Katana
2133: Decanus, Gold Car Paint, Cosmic Blue, Guardian 5 / WINGS, Blue Eyes, No Weapon
2134: Praefectus castrorum, Red Car Paint, MSMC Copper Matte, Guardian 1 / BASE, o_o, No Weapon
2135: Decanus, Yellow Car Paint, Trippy Black/Red, Guardian 1 / BASE, Green Eyes, No Weapon
2136: Centurion, Gold Car Paint, Trippy Black/White, Guardian 2, X_X, No Weapon
2137: Decurion, Red Car Paint, Cosmic Blue, Guardian 3, Heart, No Weapon
2138: Decanus, Black Car Paint, Digital Camo, Guardian 5 / WINGS, xD, No Weapon
2139: Decurion, Blue Car Paint, Cosmic Blue, Guardian 2, SOL Symbol, Katana
2140: Decurion, Purple Car Paint, Carbon Fiber, Guardian 2, Target, Fire Katana
2141: Decanus, Blue Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, Sniper
2142: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, o_o, No Weapon
2143: Decanus, Green Car Paint, Matte Black, Guardian 2, Heart, Katana
2144: Centurion, Green Car Paint, Trippy Black/Red, Guardian 4, Red Eyes, Fire Katana
2145: Decanus, Gold Car Paint, Lambo Gold, Guardian 1 / BASE, $, No Weapon
2146: Decanus, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, X_X, No Weapon
2147: Decurion, Green Car Paint, Cosmic Blue, Guardian 2, Green Eyes, No Weapon
2148: Decurion, Red Car Paint, Matte Black, Guardian 3, o_o, No Weapon
2149: Decanus, Green Car Paint, Carbon Fiber, Guardian 3, xD, Katana
2150: Decurion, Blue Car Paint, Cosmic Blue, Guardian 2, Blue Eyes, No Weapon
2151: Centurion, Yellow Car Paint, Matte Black, Guardian 2, X_X, No Weapon
2152: Pilus prior, Yellow Car Paint, Carbon Fiber, Guardian 2, Blue Skull, No Weapon
2153: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 3, X_X, No Weapon
2154: Decurion, Red Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, No Weapon
2155: Centurion, Green Car Paint, Holographic, Guardian 2, KILL Text, No Weapon
2156: Decanus, Black Car Paint, Holographic, Guardian 3, :), Fire Sniper
2157: Pilus prior, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, Sniper
2158: Decanus, Black Car Paint, Carbon Fiber, Guardian 3, Heart, No Weapon
2159: Centurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, o_o, No Weapon
2160: Centurion, Red Car Paint, MSMC Copper Liquid, Guardian 2, Blue Skull, Ice Sniper
2161: Decanus, Red Car Paint, Trippy Black/White, Guardian 1 / BASE, Blue Eyes, Sniper
2162: Decanus, Purple Car Paint, Holographic, Guardian 3, X_X, Katana
2163: Decanus, Red Car Paint, Trippy Black/White, Guardian 5 / WINGS, Red Skull, No Weapon
2164: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 2, SOL Symbol, Ice Katana
2165: Legatus legionis, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, xD, Sniper
2166: Praefectus castrorum, Gold Car Paint, Cosmic Blue, Guardian 3, Green Eyes, No Weapon
2167: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 2, Heart, No Weapon
